Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2017 Mondraker Dune XR (XL),2017,Mondraker,NoModelFound,2100,USD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3890835/
Norco Torrent 2- Hardtail - Medium,,Norco,Torrent,845,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,140 mm,0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3886463/
2019 Mondraker Foxy rr,2019,Mondraker,NoModelFound,2500,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3634105/
2021 Specialized Stump Jumper,2021,Specialized,NoModelFound,3000,USD,Excellent - Lightly Ridden,S,29,130 mm,140 mm,,model,https://www.pinkbike.com/buysell/3885420/
2020 Santacruz Bronson CC,2020,NoManufacturer,NoModelFound,3699,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3806202/
2016 Scott Lt 700 Tuned Plus,2016,Scott,NoModelFound,2756,CAD,Excellent - Lightly Ridden,S,27.5 / 650B,160 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3883897/
2020 S-WORKS Enduro with Upgrades,2020,NoManufacturer,NoModelFound,5700,USD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3866716/
2020 commecal clash medium frame,2020,NoManufacturer,NoModelFound,3000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,180 mm,150 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3882739/
2018 KHS SixFifty 6600 Carbon Large Frame,2018,KHS,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,150 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3880725/
2017 Specialized Rhyme Comp Carbon 6 Fattie,2017,Specialized,NoModelFound,2205,CAD,"Good - Used, Mechanically Sound",S,27.5 / 650B,150 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3734557/
2022 BRAND NEW Juliana Rubion CC,2022,Juliana,NoModelFound,4400,USD,New - Unridden/With Tags,M,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3818540/
2018 Hightower LT,2018,NoManufacturer,NoModelFound,2205,CAD,Excellent - Lightly Ridden,XXL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3851877/
2016 Giant Trance 2,2016,Giant,NoModelFound,1400,USD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,160 mm,160 mm,Aluminium,model,https://www.pinkbike.com/buysell/3606497/
2022 Trek Slash Medium Large,2022,Trek,Slash,2500,USD,"Good - Used, Mechanically Sound",,29,170 mm,160 mm,Aluminium,frame size,https://www.pinkbike.com/buysell/3685255/
2019 YETI SB5+,2019,Yeti,NoModelFound,3200,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3853665/
2022 Generic (Chinese) frame enduro style large,2022,NoManufacturer,NoModelFound,2150,USD,Excellent - Lightly Ridden,L,27.5 / 650B,140 mm,140 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3747202/
"2021 Mondraker Roxy Carbon R, Size Large",2021,Mondraker,NoModelFound,2279,CAD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3689877/
2022 Santa Cruz Nomad,2022,Santa Cruz,Nomad,3234,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,,,Carbon Fiber,front travel,https://www.pinkbike.com/buysell/3862530/
2022 Haibike ALLMTN 5 E-BIKE-RIDDEN 5 TIMES BY 60's WIFE,2022,Haibike,AllMtn Electric,2900,USD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3844081/
2022 Stumpjumper Evo Expert,2022,NoManufacturer,NoModelFound,2999,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3435706/
2023 Specialized Status 140 (S4) in exceptional condition,2023,Specialized,Status,2000,USD,Excellent - Lightly Ridden,L,29,140 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3763088/
2014 Niner WFO XL,2014,Niner,NoModelFound,850,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3463282/
2017 Yeti SB5 Beti TURQ X01 Eagle Medium (womens specific),2017,Yeti,NoModelFound,2800,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3864658/
Santa Cruz Megatower,,Santa Cruz,Megatower,4000,USD,"Good - Used, Mechanically Sound",L,29,160 mm,160 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3862034/
2015 Norco Sight A7.2 - Upgrades,2015,Norco,Sight,1250,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3853966/
2022 Evil Wreckoning - Large X01 AXS We Are One,2022,We Are One,NoModelFound,5000,USD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3816662/
2021 Kona ESD XL,2021,Kona,NoModelFound,1691,CAD,Excellent - Lightly Ridden,XL,29,150 mm,0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3853661/
2020 Mondraker SuperFoxy RR Custom build Large,2020,Mondraker,NoModelFound,5500,USD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3665321/
2012 Yeti 575 large,2012,Yeti,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",L,26,150 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3844112/
2017 Rocky Mountian Instinct Carbon 90 BC Edition,2017,NoManufacturer,NoModelFound,2200,USD,"Good - Used, Mechanically Sound",L,29,140 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3671162/
2024 CC V2 Mega Tower,2024,NoManufacturer,NoModelFound,5200,USD,Excellent - Lightly Ridden,M,29,160 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3840963/
2019 Slayer Carbon 90,2019,NoManufacturer,NoModelFound,2900,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3785835/
FULLY UPGRADED GT TIMBERLINE,,GT,NoModelFound,294,CAD,Excellent - Lightly Ridden,L,26,150 mm,0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3705356/
2019 Felt Decree,2019,Felt,NoModelFound,2352,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3645117/
2016 Yeti 575 Large,2016,Yeti,NoModelFound,1000,USD,Excellent - Lightly Ridden,L,26,,,Aluminium,model,https://www.pinkbike.com/buysell/3719767/
2022 Specialized Enduro,2022,Specialized,Enduro,4410,CAD,Excellent - Lightly Ridden,L,29,,,Carbon Fiber,front travel,https://www.pinkbike.com/buysell/3654331/
2022 Commensal Clash GX AXS L,2022,NoManufacturer,NoModelFound,1800,USD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,170 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3853046/
2021 Giant SX Medium 29er,2021,Giant,NoModelFound,2462,CAD,Excellent - Lightly Ridden,M,29,170 mm,145 mm,Aluminium,model,https://www.pinkbike.com/buysell/3845538/
2022 Specialized S3 Stump SWORKS EVO,2022,Specialized,NoModelFound,8000,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3850828/
2020 S-Works Enduro,2020,NoManufacturer,NoModelFound,3500,USD,"Good - Used, Mechanically Sound",S,29,170 mm,170 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3735206/
2023 Brand new custom Devinici Chainsaw,2023,NoManufacturer,NoModelFound,3675,CAD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3834075/
2023 Transition Relay M Carbon XX AXS transmission E-bike,2023,Transition,NoModelFound,7000,USD,"Good - Used, Mechanically Sound",M,29,160 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3841785/
S-Works Enduro SL MD,,NoManufacturer,NoModelFound,2200,USD,"Good - Used, Mechanically Sound",17.5,26,160 mm,200 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3841469/
Giant Trance 27.5,,Giant,NoModelFound,882,CAD,"Good - Used, Mechanically Sound",S,27.5 / 650B,160 mm,140 mm,Aluminium,year,https://www.pinkbike.com/buysell/3828880/
2018 IBIS HD,2018,Ibis,NoModelFound,2500,USD,Excellent - Lightly Ridden,L,27.5 / 650B,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3806964/
2018 Rocky mountain A50 size Medium,2018,Rocky Mountain,NoModelFound,2205,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,160 mm,150 mm,Aluminium,model,https://www.pinkbike.com/buysell/3515389/
