Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2024 PIVOT TRAIL 429 PRO XT/XTR,2024,Pivot,Trail 429,4500,USD,Excellent - Lightly Ridden,M,29,130 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3918663/
2017 Rocky Mountain Pipeline,2017,Rocky Mountain,Pipeline,1899,USD,Excellent - Lightly Ridden,S,27.5 / 650B,150 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3921827/
2020 Ibis Ripley V4 XL. One of a kind build. So fun,2020,Ibis,Ripley,5300,USD,Excellent - Lightly Ridden,XL,29,140 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3917782/
2023 Canyon Spectral 125 cf7,2023,Canyon,Spectral,2576,CAD,Excellent - Lightly Ridden,L,29,140 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3900411/
2020 Chromag Stylus,2020,Chromag,Stylus,1086,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,0 mm (Hardtail),Aluminium,,https://www.pinkbike.com/buysell/3616115/
2023 Trek Fuel EX GEN 6,2023,Trek,Fuel EX,4200,USD,"Good - Used, Mechanically Sound",L,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3782390/
2021 Intense primer,2021,Intense,Primer,3000,USD,New - Unridden/With Tags,XL,29,160 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3922072/
2023 Canyon Spectral AL,2023,Canyon,Spectral,2400,USD,Excellent - Lightly Ridden,XS,27.5 / 650B,160 mm,150 mm,Aluminium,,https://www.pinkbike.com/buysell/3893557/
2023 YT IZZO Core 4,2023,YT,Izzo,2944,CAD,Excellent - Lightly Ridden,XL,29,130 mm,130 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3916520/
2022 Santa Cruz 5010 Carbon R-kit Large,2022,Santa Cruz,5010,3000,USD,Excellent - Lightly Ridden,L,27.5 / 650B,130 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3924927/
2018 Devinci Troy XL,2018,Devinci,Troy,1362,CAD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,150 mm,140 mm,Aluminium,,https://www.pinkbike.com/buysell/3900557/
2021 Another Price drop *** Santa Cruz Hightower C S,2021,Santa Cruz,Hightower,3128,CAD,Excellent - Lightly Ridden,M,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3603016/
2016 Small Specialized Stumpjumper,2016,Specialized,Stumpjumper,1700,USD,"Good - Used, Mechanically Sound",S,29,140 mm,155 mm,Aluminium,,https://www.pinkbike.com/buysell/3924920/
2021 Upgraded Specialized Stumpjumper Evo Carbon Comp S4,2021,Specialized,Stumpjumper,2650,USD,Excellent - Lightly Ridden,L,29,170 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3912373/
2022 Orbea Occam M-LTD,2022,Orbea,Occam,4784,CAD,New - Unridden/With Tags,M,29,140 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3904640/
2023 Specialized Stumpjumper Evo,2023,Specialized,Stumpjumper,3600,USD,Excellent - Lightly Ridden,M,29,170 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3923053/
2022 Evil Following,2022,Evil,Following,2550,USD,Excellent - Lightly Ridden,L,29,140 mm,120 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3910283/
