Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2022 FLX F5 Trail,2022,NoManufacturer,NoModelFound,2299,USD,New - Unridden/With Tags,M,27.5 / 650B,130 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3746912/
2020 SB130 Lunch Ride w/ SCB Reserve Wheels,2020,NoManufacturer,NoModelFound,4415,CAD,Excellent - Lightly Ridden,XL,29,160 mm,135 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3357704/
2020 Dimondback Carbon Realese 4C,2020,NoManufacturer,NoModelFound,2800,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,130 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3746161/
2022 Surly Bridge Club Medium W/ Uncut Steerer Tube,2022,Surly,NoModelFound,1200,USD,Excellent - Lightly Ridden,M,27.5 / 650B,0 mm (Rigid),0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3744885/
2022 NS Eccentric Chromo Hardtail,2022,NoManufacturer,NoModelFound,1398,CAD,Excellent - Lightly Ridden,L,29,140 mm,0 mm (Hardtail),Chromoly,manufacturer,https://www.pinkbike.com/buysell/3744728/
2019 Stumpjumper Comp Carbon 29—12-speed,2019,NoManufacturer,NoModelFound,2200,USD,Excellent - Lightly Ridden,M,29,150 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3721970/
2004 Oryx hard tail for sale,2004,NoManufacturer,NoModelFound,478,CAD,"Good - Used, Mechanically Sound",18,700C,130 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3743950/
2021 Specialized SJ expert evo S5,2021,Specialized,NoModelFound,2500,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3743906/
2022 L Stumpjumper EVO; great condition!,2022,NoManufacturer,NoModelFound,3299,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3697997/
2022 Specialized Status 140  S4,2022,Specialized,Status,2000,USD,"Good - Used, Mechanically Sound",L,29,160 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3737609/
2024 Terk FUEL EX 9.8 GX AXS,2024,NoManufacturer,NoModelFound,7000,USD,New - Unridden/With Tags,M,29,150 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3743036/
