Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
"2010 WANTED: Specialized fsr xc comp 26"" chain stay",2010,Specialized,NoModelFound,50,USD,"Good - Used, Mechanically Sound",L,26,100 mm,100 mm,Aluminium,model,https://www.pinkbike.com/buysell/2732519/
2024 Kona Bikes,2024,Kona,NoModelFound,2750,USD,Excellent - Lightly Ridden,S,,,,Aluminium,model,https://www.pinkbike.com/buysell/3845947/
Xprezo sub 5,,NoManufacturer,NoModelFound,589,CAD,"Good - Used, Mechanically Sound",M,26,100 mm,110 mm,Aluminium,year,https://www.pinkbike.com/buysell/3845842/
2022 BMC Fourstroke 01,2022,NoManufacturer,NoModelFound,3600,USD,Excellent - Lightly Ridden,L,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3845554/
XL Specialized Epic MTB,,Specialized,Epic,250,USD,"Good - Used, Mechanically Sound",XL,26,80 mm,,Aluminium,year,https://www.pinkbike.com/buysell/3836284/
2024 S-Works Epic 8,2024,NoManufacturer,NoModelFound,12500,USD,New - Unridden/With Tags,L,29,120 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3833466/
2020 KTM Scarp Prestige Carbon,2020,NoManufacturer,NoModelFound,3000,USD,Excellent - Lightly Ridden,19,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3732907/
2020 Evil Chamois Hagar,2020,Evil,NoModelFound,4000,USD,Excellent - Lightly Ridden,M,700C,0 mm (Rigid),0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3651614/
2019 Specialized Pitch Sport XS,2019,Specialized,NoModelFound,368,CAD,Excellent - Lightly Ridden,XS,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3692490/
2022 Niner RKT 9 RDO - 2 Star,2022,Niner,NoModelFound,4199,USD,New - Unridden/With Tags,L,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3804653/
"2016 Niner RKT 9 RDO, Kappius Wheels, XL",2016,Niner,NoModelFound,2400,USD,Excellent - Lightly Ridden,XL,29,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3520080/
2013 Jamis Sport Dragon 20th Anniversary Edition,2013,Jamis,NoModelFound,750,USD,Excellent - Lightly Ridden,19,29,100 mm,0 mm (Hardtail),Chromoly,model,https://www.pinkbike.com/buysell/3843909/
2022 Marin Eldridge Grade 1,2022,Ari,NoModelFound,607,CAD,Excellent - Lightly Ridden,M,27.5 / 650B,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3843903/
2014 Cannondale F29 5 Medium Lefty,2014,Cannondale,NoModelFound,649,USD,"Good - Used, Mechanically Sound",M,29,90 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3843791/
2012 Salsa Mamasita Rigid (L),2012,Salsa,NoModelFound,900,USD,"Good - Used, Mechanically Sound",L,29,0 mm (Rigid),0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3843672/
2019 PRICE REDUCED - Santa Cruz Highball S - XL,2019,Santa Cruz,NoModelFound,2800,USD,Excellent - Lightly Ridden,XL,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3756636/
2017 Rocky Mountain Thunder bolt 770 MSL,2017,Rocky Mountain,NoModelFound,1325,CAD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3832172/
2010 KONA NuNu Hardtail,2010,Kona,NoModelFound,368,CAD,Excellent - Lightly Ridden,L,26,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3842849/
2020 Pivot Mach 4 Carbon V2,2020,Pivot,NoModelFound,2500,USD,"Good - Used, Mechanically Sound",20.5,27.5 / 650B,100 mm,111 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3842692/
2017 Transition Patrol - (Large),2017,Transition,Patrol,2000,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3838386/
2023 Custom Turq Yeti sb115 XX1 AXS,2023,Yeti,NoModelFound,6000,USD,Excellent - Lightly Ridden,M,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3834051/
2016 Santa Cruz Highball,2016,Santa Cruz,NoModelFound,650,USD,"Good - Used, Mechanically Sound",M,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3841708/
