Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2020 XL Canfield Balance LE,2020,Canfield,Balance,2500,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,170 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3513440/
2021 Transition Scout XS carbon 27.5,2021,Transition,Scout,3600,USD,Excellent - Lightly Ridden,XS,27.5 / 650B,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3853074/
2021 Norco RANGE VLT C3,2021,Norco,Range,3135,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,180 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3826589/
2015 Cannondale Jekyll Carbon Team,2015,Cannondale,Jekyll,1500,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3656898/
2019 Santa Cruz Bronson 3.0 - sz. S (Price Drop - Again!),2019,Santa Cruz,Bronson,3000,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,150 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3807724/
2021 Santa Cruz Hightower XT with Cascade Link,2021,Santa Cruz,Hightower,3244,CAD,Excellent - Lightly Ridden,L,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3857431/
2021 Specialized Enduro S-Works,2021,Specialized,Enduro,3900,USD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3859575/
2021 Revel Rail 27.5 Large,2021,Revel,Rail,2400,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3838891/
2021 Canyon Spectral 29 CF 7,2021,Canyon,Spectral,2600,USD,Excellent - Lightly Ridden,M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3479215/
2021 Ibis Ripmo V2 XL,2021,Ibis,Ripmo,3700,USD,Excellent - Lightly Ridden,XL,29,160 mm,145 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3606884/
2020 Norco Sight,2020,Norco,Sight,2800,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3807881/
2018 Evil The Wreckoning,2018,Evil,Wreckoning,1604,CAD,"Good - Used, Mechanically Sound",M,29,160 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3861360/
2021 Rocky Mountain - Altitude C 50,2021,Rocky Mountain,Altitude,2916,CAD,Excellent - Lightly Ridden,L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3803869/
2017 Santa Cruz Bronson CC Medium,2017,Santa Cruz,Bronson,2000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3858169/
2022 Trek Slash 9.8 CUSTOM,2022,Trek,Slash,4500,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3759380/
2022 Evil Wreckoning - Large X01 AXS We Are One,2022,Evil,Wreckoning,5000,USD,"Good - Used, Mechanically Sound",L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3816662/
2022 Cannondale Jekyll 1 Large,2022,Cannondale,Jekyll,3750,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3702149/
2022 Small Commencal Clash,2022,Commencal,Clash,875,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,180 mm,170 mm,Aluminium,,https://www.pinkbike.com/buysell/3771654/
2021 Transition Sentinel XT - Carbon - Large,2021,Transition,Sentinel,3000,USD,"Good - Used, Mechanically Sound",L,29,160 mm,155 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3845309/
"2021 Revel Rail, Medium XT",2021,Revel,Rail,3500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3760933/
2021 Specialized S-Works Enduro,2021,Specialized,Enduro,4921,CAD,Excellent - Lightly Ridden,M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3618561/
"2021 Specialized Enduro S4 carbon, Ridewrap, like new",2021,Specialized,Enduro,3244,CAD,Excellent - Lightly Ridden,L,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3665618/
"2016 PIVOT mach 6, Alum, XL",2016,Pivot,Mach 6,1900,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,160 mm,155 mm,Aluminium,,https://www.pinkbike.com/buysell/3782792/
2018 Yeti SB 5.5 TURQ Medium,2018,Yeti,SB 5.5,3900,USD,"Good - Used, Mechanically Sound",M,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3785816/
2018 Selling Scott Voltage FR 720 M,2018,Scott,Voltage FR,1050,USD,Excellent - Lightly Ridden,M,27.5 / 650B,180 mm,180 mm,Aluminium,,https://www.pinkbike.com/buysell/3857965/
2022 Specialized Stumpjumper Evo Expert S4,2022,Specialized,Stumpjumper EVO,3250,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3785006/
2022 Trek Slash 9.8 XT Med Lithium Grey,2022,Trek,Slash,3645,CAD,"Good - Used, Mechanically Sound",M,29,170 mm,170 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3765402/
2022 Yeti SB150 TURQ,2022,Yeti,SB150,4750,USD,"Good - Used, Mechanically Sound",L,29,170 mm,150 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3779054/
"2018 *Price drop*Giant Reign,Hydra,Charger,NX,Transfer",2018,Giant,Reign,2000,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,160 mm,160 mm,Aluminium,,https://www.pinkbike.com/buysell/3686109/
2021 Yeti SB140 - TURQ - Mullet,2021,Yeti,SB140,4300,USD,Excellent - Lightly Ridden,L,27.5 / 650B,150 mm,140 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3856870/
2023 Santa Cruz Megatower CC LG(23),2023,Santa Cruz,Megatower,6500,USD,"Good - Used, Mechanically Sound",L,29,170 mm,160 mm,Carbon Fiber,,https://www.pinkbike.com/buysell/3726457/
