Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2019 Structure SCW1 medium,2019,NoManufacturer,NoModelFound,2019,,3000,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,manufacturer
2017 Trek slash 9.8 medium.  9.9 build level,2017,Trek,Slash,2017,,2700,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2022 Specialized Enduro LTD Ohlins,2022,Specialized,Enduro,2022,,4000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Santa Cruz Megatower Medium,2021,Santa Cruz,Mega,2021,,3250,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
"2023 NEW MED Vitus Sommet 297 AMP, ZEB Ultimate, XO AXS",2023,Vitus,Sommet,2023,,4900,USD,New - Unridden/With Tags,M,"29""",170 mm,currency
2022 Specialized S-Works Enduro S4,2022,Specialized,Enduro,2022,,6000,USD,Excellent - Lightly Ridden,L,"29""",180 mm,currency
"2021 Santa Cruz Nomad C S build, XL",2021,Santa Cruz,Nomad,2021,,3500,USD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",170 mm,currency
2022 Evil Wreckoning carbon bike 29 large new frame,2022,Evil,Wreckoning,2022,,4500,USD,New - Unridden/With Tags,L,"29""",170 mm,currency
2020 Liv Hail Advanced 1,2020,Liv,Hail,2020,,3200,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2021 Transition Scout carbon Large,2021,Transition,Scout,2021,,5000,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2022 Rocky Mountain Altitude A70 Coil 27.5 Medium,2022,Rocky Mountain,Altitude,2022,,3400,USD,New - Unridden/With Tags,M,"27.5"" / 650B",170 mm,currency
2016 IBIS MOJO HD3,2016,Ibis,Mojo,2016,,2000,CAD,"Good - Used, Mechanically Sound","17""","27.5"" / 650B",160 mm,currency
2020 Norco Sight C3,2020,Norco,Sight,2020,,2500,CAD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2021 Intense Tazer,2021,Intense,Tazer,2021,,4000,USD,Excellent - Lightly Ridden,L,,,currency
2022 Santa Cruz Bronson XS,2022,Santa Cruz,Bronson,2022,,4000,USD,"Good - Used, Mechanically Sound",XS,"27.5"" / 650B",150 mm,currency
2016 Rocky Mountain Altitude 770 MSL XL,2016,Rocky Mountain,Altitude,2016,,1350,CAD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",150 mm,currency
2022 Alpine Trail XR,2022,NoManufacturer,Alpine Trail,2022,,2900,USD,New - Unridden/With Tags,XL,"29""",160 mm,manufacturer
2021 Ibis Ripmo AF like new,2021,Ibis,Ripmo,2021,,2200,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Norco Range XL (PRICE DROP),2022,Norco,Range,2022,,3000,USD,"Good - Used, Mechanically Sound",XL,"29""",170 mm,currency
2021 Trek Rail 7 Enduro Mountain eBike,2021,Trek,Rail,2021,,4999,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2017 Intense tracer 275 c (Pro Elite build),2017,Intense,Tracer,2017,,2100,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2023 Kona Process X,2023,Kona,Process X,2023,,3000,USD,New - Unridden/With Tags,M,"29""",170 mm,currency
"2020 Trek, Remedy 9.9, Large",2020,Trek,Remedy,2020,,2450,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2020 Santa Cruz Megatower CC size M,2020,Santa Cruz,Mega,2020,,3799,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Giant Reign Advanced Pro 0,2021,Giant,Reign,2021,,2250,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2022 M NORCO Range VLT A-1 grey metallic,2022,Norco,Range,2022,,4500,USD,Excellent - Lightly Ridden,M,"29""",180 mm,currency
2021 Santa Cruz Megatower,2021,Santa Cruz,Mega,2021,,4500,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2018 INTENSE TRACER Large,2018,Intense,Tracer,2018,,3000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
2022 Canyon Spectral CF 7,2022,Canyon,Spectral,2022,,3200,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
"2020 Scott Contessa Ransom 910 Mountain Bike, Medium",2020,Scott,Ransom,2020,,3200,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2018 SantaCruz Hightower LT CC-XO1,2018,NoManufacturer,Hightower,2018,,3500,CAD,Excellent - Lightly Ridden,XL,"29""",160 mm,manufacturer
2014 Lady ridden - Trek Slash 8 - Small,2014,Trek,Slash,2014,,1600,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,currency
2023 New Kona Process X Carbon - Size Large,2023,Kona,Process X,2023,,3200,USD,New - Unridden/With Tags,L,"29""",170 mm,currency
2022 Large Santa Cruz Bronson MX Carbon R (with upgrades),2022,Santa Cruz,Bronson,2022,,4200,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 Specialized Stumpjumper EVO Pro,2023,Specialized,Stumpjumper EVO,2023,,4500,USD,Excellent - Lightly Ridden,XL,"29""",150 mm,currency
2018 Transition Sentinel Large,2018,Transition,Sentinel,2018,,1900,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2021 Trek Slash 9.8GX (medium) w/GX AXS upgrade,2021,Trek,Slash,2021,,3200,USD,Excellent - Lightly Ridden,"17.5""","29""",170 mm,currency
2020 Kona process 153 29 DL Large,2020,Kona,Process 153,2020,,2900,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2020 Custom Transition Patrol size Large,2020,Transition,Patrol,2020,,2000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
2021 FS: Luna Z1 Medium with less than 50 miles,2021,NoManufacturer,NoModelFound,2021,,2900,USD,Excellent - Lightly Ridden,"18""","27.5"" / 650B",160 mm,manufacturer
2020 S-Works Full Custom Build Enduro **Price Drop**,2020,NoManufacturer,Enduro,2020,,4500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,manufacturer
2022 Specialized Stumpjumper Evo Comp S4,2022,Specialized,Stumpjumper EVO,2022,,3500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2021 Specialized Enduro S4 Large,2021,Specialized,Enduro,2021,,4295,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2018 Banshee Rune V2,2018,Banshee,NoModelFound,2018,,2000,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,model
2020 GT Force Mullet,2020,GT,Force,2020,,2500,CAD,"Good - Used, Mechanically Sound",M,"29""",150 mm,currency
2016 Transition Patrol Medium,2016,Transition,Patrol,2016,,1150,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2020 Transition Patrol Large “NX” (Upgrades),2020,Transition,Patrol,2020,,2700,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2018 Cannondale jekyll 2,2018,Cannondale,Jekyll,2018,,2800,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2022 Santa Cruz Bronson C mullet,2022,Santa Cruz,Bronson,2022,,3600,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2020 Rocky Mountain Instinct BC Edition C70,2020,Rocky Mountain,Instinct,2020,,3500,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Transition Patrol Large with zeb and dvo coil,2021,Transition,Patrol,2021,,3650,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
2018 Specialized Enduro Carbon,2018,Specialized,Enduro,2018,,2500,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2021 Rocky Mountain Altitude C90 Rally Medium Frame,2021,Rocky Mountain,Altitude,2021,,3999,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
"2019 Giant Reign 29""",2019,Giant,Reign,2019,,2150,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Stumpjumper Evo Ltd S5,2022,NoManufacturer,Stumpjumper EVO,2022,,4000,USD,New - Unridden/With Tags,XL,"29""",160 mm,manufacturer
2021 specialized enduro expert s3,2021,Specialized,Nduro,2021,,4500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
"2022 Fezzari Wire Peak Pro (LG), EP8, 29er",2022,Fezzari,NoModelFound,2022,,4000,USD,Excellent - Lightly Ridden,56cm,"29""",160 mm,model
2021 Commencal Meta AM 29 Öhlins Edition w/ Nice Upgrades,2021,Commencal,NoModelFound,2021,,3000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,model
2022 Chromag Rootdown L Steel hardtail,2022,Chromag,Rootdown,2022,,2800,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Norco Sight Carbon Size L,2022,Norco,Sight,2022,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2021 Propain Spindrift CF 29,2021,Propain,Spindrift,2021,,3400,USD,Excellent - Lightly Ridden,L,"29""",180 mm,currency
2021 Propain Spindrift AL,2021,Propain,Spindrift,2021,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",180 mm,currency
2017 Scott Genius LT Plus (29er),2017,Scott,Genius,2017,,3999,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2020 C70 Rock Mountain Instict BC Edition a,2020,NoManufacturer,NoModelFound,2020,,3300,CAD,Excellent - Lightly Ridden,XL,"29""",160 mm,manufacturer
2023 Evil Wreckoning LS Large - Baja Fog | Push | Enve,2023,Evil,Wreckoning,2023,,10200,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2023 Fully custom Trek Remedy,2023,Trek,Remedy,2023,,4500,USD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",170 mm,currency
2019 Rocky Mountain altitude size large,2019,Rocky Mountain,Altitude,2019,,2650,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2016 Intense Tracer 275a Large,2016,Intense,Tracer,2016,,2000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2023 Status 160,2023,NoManufacturer,Status,2023,,1800,USD,Excellent - Lightly Ridden,L,"29""",170 mm,manufacturer
"2017 Devinci Spartan Carbon XT, X-Large",2017,Devinci,Spartan,2017,,1449,USD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",160 mm,currency
2019 Mondraker Foxy Carbon RR Large,2019,Mondraker,Foxy Carbon,2019,,2400,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2018 Santa Cruz Bronson C,2018,Santa Cruz,Bronson,2018,,2000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2017 Banshee Rune - Large,2017,Banshee,NoModelFound,2017,,1950,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,model
2018 Kona Process 153 CR/DL,2018,Kona,Process 153,2018,,1800,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2021 MULLET Enduro full custom build w/Cascade link,2021,NoManufacturer,Cascade,2021,,4900,USD,Excellent - Lightly Ridden,M,"29""",180 mm,manufacturer
2021 Trek Remedy size medium (need to sell),2021,Trek,Remedy,2021,,2700,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2019 Canyon spectral 6.0Al large,2019,Canyon,Spectral,2019,,1850,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2020 Santa Cruz Nomad XL,2020,Santa Cruz,Nomad,2020,,3400,USD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",180 mm,currency
2018 Trek Remedy XL,2018,Trek,Remedy,2018,,1800,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
"2022 Guerrilla Gravity Smash Rally, 2x M/L 2x and 2x L/XL",2022,Guerrilla Gravity,Smash,2022,,3000,USD,Excellent - Lightly Ridden,L,"29""",150 mm,currency
2022 Guerrilla Gravity Megatrail 27.5 2x S/M,2022,Guerrilla Gravity,Megatrail,2022,,2500,USD,Excellent - Lightly Ridden,S,"27.5"" / 650B",150 mm,currency
2018 INTENSE CARBINE,2018,Intense,Carbine,2018,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2021 Trek Slash 9.8 Size L,2021,Trek,Slash,2021,,3550,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2021 Custom Transition Sentinel,2021,Transition,Sentinel,2021,,4900,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 Trek Slash 9.8,2020,Trek,Slash,2020,,2500,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2017 Specialized S-Works Enduro Carbon,2017,Specialized,Enduro,2017,,4750,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2022 Rocky Mountain Altitude Carbon Custom Large,2022,Rocky Mountain,Altitude,2022,,3800,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Specialized Levo sl S works,2021,Specialized,NoModelFound,2021,,7500,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,model
2021 Specialized Enduro,2021,Specialized,Nduro,2021,,5000,USD,Excellent - Lightly Ridden,M,"29""",180 mm,currency
2022 Rocky Mountain Altitude,2022,Rocky Mountain,Altitude,2022,,3250,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2020 Pivot Switchblade w/ Reynold Carbon Wheels + AXS,2020,Pivot,Switchblade,2020,,4050,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2021 Pivot Firebird 29 Pro XT/XTR Medium,2021,Pivot,Firebird 29,2021,,3900,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2020 Yeti SB150 Turq X01 Race,2020,Yeti,SB150,2020,,4000,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Specialized Enduro Comp - (Upgrades) S4,2021,Specialized,Enduro,2021,,2900,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 Rocky Mountain Instinct BC Edition (160/155mm),2020,Rocky Mountain,Instinct,2020,,3300,CAD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2020 Ibis ripmo v2 size xl,2020,Ibis,Ripmo,2020,,4500,CAD,"Good - Used, Mechanically Sound",XL,"29""",170 mm,currency
2022 NORCO Optic Medium,2022,Norco,Optic,2022,,3500,CAD,Excellent - Lightly Ridden,M,"29""",140 mm,currency
Tracer T275 Intense Full Suspension Bike,,Intense,Tracer,,,1200,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,price
2015 Rocky Mountain Altitude Carbon,2015,Rocky Mountain,Altitude,2015,,2150,CAD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
"2022 New Pivot Cycles Firebird Pro XO1 Coil, Large NEW!",2022,Pivot,NoModelFound,2022,,6450,USD,New - Unridden/With Tags,L,"29""",170 mm,model
2021 Prime Thunderflash RSX Bike size L like new + extras,2021,NoManufacturer,Prime,2021,,4500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,manufacturer
2021 Transition Sentinel v2 w/ Upgrades,2021,Transition,Sentinel,2021,,3950,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Salsa Cassidy GX Eagle XL,2021,Salsa,NoModelFound,2021,,4500,USD,New - Unridden/With Tags,XL,"29""",180 mm,model
2021 New Cassidy carbon GX Eagle,2021,NoManufacturer,NoModelFound,2021,,4500,USD,New - Unridden/With Tags,S,"29""",180 mm,manufacturer
2022 Pivot Firebird,2022,Pivot,NoModelFound,2022,,5000,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,model
2023 Transition Patrol(PRICE DROP NEED GONE),2023,Transition,Patrol,2023,,2750,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2022 Trasition Spire w/upgrades,2022,NoManufacturer,Spire,2022,,3000,USD,Excellent - Lightly Ridden,L,"29""",180 mm,manufacturer
2018 Rocky Mountain Slayer Carbon 90 Build,2018,Rocky Mountain,Slayer,2018,,3000,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2020 Santa Cruz Hightower CC Large with Reserve Carbon Rims,2020,Santa Cruz,Hightower,2020,,3900,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Pivot Mach 6 Medium (new) MINT RELIC,2022,Pivot,NoModelFound,2022,,4600,USD,New - Unridden/With Tags,M,"27.5"" / 650B",160 mm,model
2017 Santa Cruz Bronson C Med - Cushcore Inserts + Upgrades,2017,Santa Cruz,Bronson,2017,,2200,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2022 YT Capra Core 3 MX XL,2022,YT,Capra,2022,,2800,USD,"Good - Used, Mechanically Sound",XL,,170 mm,currency
2022 Specialized Enduro Limited edition s4/large,2022,Specialized,Enduro,2022,,4999,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2019 Intense Tracer Carbon,2019,Intense,Tracer,2019,,2800,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",170 mm,currency
2019 Specialized Stumpjumper Evo S3,2019,Specialized,Stumpjumper EVO,2019,,2600,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2021 Santa Cruz Nomad cc x01 rsv,2021,Santa Cruz,Nomad,2021,,6000,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2020 Evil Offering (L) - Push ElevenSix + GX AXS,2020,Evil,Offering,2020,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2021 TREK SLASH 7 ML,2021,Trek,Slash,2021,,2500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Santa Cruz Branson,2021,Santa Cruz,NoModelFound,2021,,3450,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,model
2019 LARGE Rocky Mountain Slayer Carbon 70,2019,Rocky Mountain,Slayer,2019,,2750,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2019 YT Jeffsy pro race carbon,2019,YT,Jeffsy,2019,,2200,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",150 mm,currency
2022 TREK Slash 9.7- Gen 5 - Large,2022,Trek,Slash,2022,,3500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2013 Trek Slash 9,2013,Trek,Slash,2013,,1800,CAD,"Good - Used, Mechanically Sound",L,"26""",160 mm,currency
2020 Small Santa Cruz Bronson v3,2020,Santa Cruz,Bronson,2020,,8500,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,currency
2017 Nukeproof Mega 290 Pro,2017,Nukeproof,Mega,2017,,2200,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2017 Diamondback Mission Pro,2017,Diamondback,NoModelFound,2017,,1100,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,model
2019 Transition Patrol Custom build,2019,Transition,Patrol,2019,,2700,USD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",170 mm,currency
2022 YT Capra Unaged 6 Medium 29 inch wheels,2022,YT,Capra,2022,,6500,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
Norco six,,Norco,NoModelFound,,,850,CAD,"Good - Used, Mechanically Sound",M,"26""",150 mm,price
2022 Rocky Mountain altitude c70,2022,Rocky Mountain,Altitude,2022,,6000,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2022 Revel Rail 27.5 Fox Float GX Eagle,2022,Revel,Rail,2022,,3300,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
"2020 Trek Slash 9.8, Brand New 9.9 M Frame",2020,Trek,Slash,2020,,2000,USD,Excellent - Lightly Ridden,"17.5""","29""",160 mm,currency
2020 Santa Cruz Megatower C Carbon L - AXS - Fox Factory,2020,Santa Cruz,Mega,2020,,5000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
"2021 Pivot, Firebird, medium",2021,Pivot,NoModelFound,2021,,3850,USD,"Good - Used, Mechanically Sound",M,"29""",180 mm,model
2022 LIV Intrigue (Medium Size) (Upgraded Parts),2022,Liv,Intrigue,2022,,2200,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2019 pivot firebird 29 large,2019,Pivot,Firebird 29,2019,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",180 mm,currency
2018 Giant Reign Advanced 0,2018,Giant,Reign,2018,,2400,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2021 Medium Trek Slash 9.7,2021,Trek,Slash,2021,,3200,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2017 Rocky Mtn Slayer 790 MSL,2017,NoManufacturer,Slayer,2017,,2500,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,manufacturer
2020 Rocky Mountain Instinct Alloy 50 - Large,2020,Rocky Mountain,Instinct,2020,,2200,USD,"Good - Used, Mechanically Sound",L,"29""",180 mm,currency
2020 Yeti SB130 Lunch Ride,2020,Yeti,SB130,2020,,3700,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2019 Felt Compulsion,2019,Felt,Compulsion,2019,,2700,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2022 Rocky Mountain Altitude Carbon 70,2022,Rocky Mountain,Altitude,2022,,4699,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Yeti SB150 T1 TURQ T1,2021,Yeti,SB150,2021,,4000,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2021 EVIL WRECKONING Medium,2021,Evil,Wreckoning,2021,,4000,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2022 Transition Patrol Alloy GX Medium Raw,2022,Transition,Patrol,2022,,5000,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Trek slash 9.9 XTR,2021,Trek,Slash,2021,,5000,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2021 Santa Cruz Hightower CC X01 Reserve,2021,Santa Cruz,Hightower,2021,,5800,USD,Excellent - Lightly Ridden,L,"29""",150 mm,currency
2021 Specialized Stumpjumper Evo SWORKS S5,2021,Specialized,Stumpjumper EVO,2021,,4800,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2021 Full Suspension REI Co-op Cycles DRT 3.1,2021,NoManufacturer,NoModelFound,2021,,1300,USD,Excellent - Lightly Ridden,S,"26""",120 mm,manufacturer
2022 Juliana Roubion C S Complete Mountain Bike,2022,Juliana,Roubion,2022,,4500,USD,Excellent - Lightly Ridden,M,,160 mm,currency
2020 niner jet 9 rdo,2020,Niner,JET 9 RDO,2020,,1800,USD,"Good - Used, Mechanically Sound",S,"29""",130 mm,currency
2019 Stumpjumper Evo w carbon wheels/bars,2019,NoManufacturer,Stumpjumper EVO,2019,,2300,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,manufacturer
2020 Cube Stereo 150 C:62 SL 29,2020,Cube,Stereo,2020,,3650,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2021 Specialized Enduro Comp Carbon 29er,2021,Specialized,Enduro,2021,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",180 mm,currency
2021 IBIS MOJO 4 WHITE MEDIUM,2021,Ibis,Mojo,2021,,3800,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",150 mm,currency
"2019 Yeti Sb150 Turq carbon, Medium",2019,Yeti,SB150,2019,,4199,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 ☆ Banshee Titan ☆   Offers?,2021,Banshee,Titan,2021,,3800,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Commencal Clash 27.5 L,2021,Commencal,Clash,2021,,2500,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",180 mm,currency
2018 Pivot Mach 6 Medium,2018,Pivot,NoModelFound,2018,,4200,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,model
2021 Trek Roscoe 8 Large/XL,2021,Trek,Roscoe,2021,,1800,CAD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",120 mm,currency
2019 Evil Wreckoning LB,2019,Evil,Wreckoning,2019,,4245,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 S Trek Slash 9.8,2021,Trek,Slash,2021,,4600,CAD,"Good - Used, Mechanically Sound",S,"29""",160 mm,currency
2022 Trek Slash 9.8 XT Large,2022,Trek,Slash,2022,,3999,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 Rocky Mountain Slayer,2020,Rocky Mountain,Slayer,2020,,2000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",150 mm,currency
2022 Santa Cruz Hightower 3 - Carbon C - S Build - Large,2022,Santa Cruz,Hightower,2022,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",150 mm,currency
2019 Santa Cruz Bronson CC LG,2019,Santa Cruz,Bronson,2019,,2800,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2021 Pivot Firebird Large,2021,Pivot,NoModelFound,2021,,3300,USD,Excellent - Lightly Ridden,L,"29""",170 mm,model
2023 Norco Shore 2,2023,Norco,NoModelFound,2023,,3600,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",180 mm,model
2019 Yeti SB150 TURQ Small,2019,Yeti,SB150,2019,,3750,USD,"Good - Used, Mechanically Sound",S,"29""",160 mm,currency
2022 Transition Spire,2022,Transition,Spire,2022,,3500,USD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 Specialized Enduro,2021,Specialized,Enduro,2021,,3500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2019 Commencal Meta Power Signature 29 Size L,2019,Commencal,Meta Power,2019,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",150 mm,currency
2022 Specialized Enduro comp medium,2022,Specialized,Enduro,2022,,4900,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
"2015 Trek Lush S MTB full susp, size 15.5",2015,Trek,NoModelFound,2015,,1400,USD,"Good - Used, Mechanically Sound","15.5""","27.5"" / 650B",,model
2022 Transition Patrol. Large,2022,Transition,Patrol,2022,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2018 YT Jeffsy AL Comp,2018,YT,Jeffsy,2018,,1700,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",150 mm,currency
2019 YT Capra Pro Race 27.5 XL,2019,YT,Capra,2019,,2400,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",180 mm,currency
2020 Carbon Coil Transition Patrol XL,2020,Transition,Patrol,2020,,2200,USD,Excellent - Lightly Ridden,"21.5""","27.5"" / 650B",170 mm,currency
2012 Knolly delirium medium,2012,Knolly,NoModelFound,2012,,1200,CAD,"Good - Used, Mechanically Sound",M,"26""",160 mm,model
2018 Intense Tracer Expert 27.5,2018,Intense,Tracer,2018,,2950,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2021 Stumpjumper Evo Expert (S6),2021,NoManufacturer,Stumpjumper EVO,2021,,3800,USD,Excellent - Lightly Ridden,XXL,700C,160 mm,manufacturer
2014 Intense Carbine (Small),2014,Intense,Carbine,2014,,2500,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",150 mm,currency
2019 9.8 Trek Remedy Miami Green,2019,Trek,Remedy,2019,,2999,CAD,"Good - Used, Mechanically Sound","19.5""","27.5"" / 650B",160 mm,currency
