Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2020 Giant Reign Advanced Pro 1 size Lage,2020,Giant,Reign,2020,,3200,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2023 transition sentinel,2023,Transition,Sentinel,2023,,5800,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2020 YETI SB140 TURQ - Custom Build - Great Condition,2020,Yeti,SB140,2020,,3600,USD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,currency
2019 Large Norco Range c1 WANT GONE,2019,Norco,Range,2019,,4000,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
2019 Santa Cruz Nomad v4,2019,Santa Cruz,Nomad,2019,,4000,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2017 Transition Scout Large,2017,Transition,Scout,2017,,3200,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",140 mm,currency
2019 Enduro Specialized XL,2019,Specialized,Enduro,2019,,3500,CAD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",170 mm,currency
2022 Guerrilla Gravity Gnarvana S3,2022,Guerrilla Gravity,NoModelFound,2022,,4000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
2020 Yeti SB 150 C2,2020,Yeti,NoModelFound,2020,,4200,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,model
2020 Rocky Mountain Altitude Large,2020,Rocky Mountain,Altitude,2020,,3500,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2017 Diamondback Mission 1 Enduro XL,2017,Diamondback,Enduro,2017,,1200,CAD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
2020 Pivot Switchblade,2020,Pivot,Switchblade,2020,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",140 mm,currency
