Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
Intense Tracer,,Intense,Tracer,1700,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,160 mm,160 mm,Carbon Fiber,year,https://www.pinkbike.com/buysell/3883100/
2023 Kona Process 134 DL Large Alloy,2023,Kona,NoModelFound,2699,USD,New - Unridden/With Tags,L,29,140 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3643570/
2023 Kona Kahuna X-Large,2023,Kona,NoModelFound,1049,USD,New - Unridden/With Tags,XL,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3647818/
2023 Kona Fire Mountain X-Small,2023,Kona,NoModelFound,699,USD,New - Unridden/With Tags,XS,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3647847/
2022 Kona Lanai X-Large,2022,Kona,NoModelFound,599,USD,New - Unridden/With Tags,XL,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3647862/
"2023 Kona Lana'i  27.5"" Small Alloy Frame",2023,Kona,NoModelFound,499,USD,New - Unridden/With Tags,S,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3864394/
2023 Kona Mahuna 29 - Large Alloy Frame,2023,Kona,NoModelFound,899,USD,New - Unridden/With Tags,L,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3864408/
2023 Kona Mahuna 29 - X-Large Alloy Frame,2023,Kona,NoModelFound,899,USD,New - Unridden/With Tags,XL,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3864409/
2023 Kona Lana'i 29 X-Large Alloy Frame,2023,Kona,NoModelFound,499,USD,New - Unridden/With Tags,XL,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3864446/
2023 Kona Process 134 DL 27.5 Small Alloy Frame,2023,Kona,NoModelFound,2799,USD,New - Unridden/With Tags,S,27.5 / 650B,140 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3864806/
